stop_id,stop_name,stop_lat,stop_lon,stop_code
1271,Myśliwska 02,54.343803795738,18.581107453436,1271
1274,Damroki 01,54.338672666947,18.564239000966,1274
1275,Damroki 02,54.338986299736,18.563743505723,1275
1280,Węzeł Karczemki 01,54.347310361664,18.527918947535,1280
1282,Karczemki 01,54.349635146085,18.512436045232,1282
1285,Inżynierska 02,54.352259205082,18.500642246548,1285
1287,Kokoszki 02,54.354894527042,18.49030841308,1287
1295,Pólnicy 02,54.340495130429,18.559223104228,1295
1296,Unimor 01,54.364013969199,18.472386601897,1296
1297,Unimor 02,54.364227523251,18.47228111103,1297
1299,Centrostal 02,54.365549358787,18.469721201798,1299
1300,Schronisko dla zwierząt "Promyk" 01,54.369131684517,18.462218080751,1300
1301,Instal 02,54.367496544136,18.465690760402,1301
1302,Otomińska 01,54.34411361756,18.510615417197,1302
1305,Otomińska 02,54.343525644063,18.510004703907,1305
1308,Szkoła Podstawowa nr 6 01,54.326281318536,18.568539916526,1308
1313,Kielecka 02,54.33370627396,18.590899664266,1313
1321,Niepołomicka 02,54.320359905424,18.595140047902,1321
1346,Nowolipie 01,54.349747797796,18.598286547518,1346
1347,Matejki 02,54.374816677171,18.613037540986,1347
1354,Jarowa 01,54.364597800276,18.61226030413,1354
1355,Pomorskie Szkoły Rzemiosł 02,54.362084285369,18.611082298291,1355
1358,Schumana 01,54.359264039165,18.604411644127,1358
1361,Na Wzgórzu - Teatr Leśny 02,54.370310482122,18.597070714257,1361
1362,Sobótki 01,54.374396140988,18.605424339627,1362
1367,Dobrowolskiego 02,54.360667164476,18.589552384715,1367
1370,Dobrowolskiego 01,54.36053984524,18.589929281711,1370
1379,Brętowo PKM 04,54.36472792622,18.572380107519,1379
1382,Galeria Bałtycka 05,54.382986413177,18.598886618683,1382
1386,Srebrniki 01,54.378908309613,18.580598351677,1386
1391,Potokowa 02,54.37372572139,18.566521232311,1391
1398,Agrarna 01,54.376279603298,18.509715832442,1398
1399,Agrarna 02,54.376792786374,18.507575000519,1399
1403,Szybowcowa 02,54.379022306144,18.488928404233,1403
1404,Firoga 01,54.37976633629,18.483215445695,1404
1413,Nowatorów 04,54.365737290926,18.490339798338,1413
1416,Rakietowa 01,54.369238826243,18.482781833739,1416
1420,Bysewo 03,54.374976768237,18.463997879521,1420
1423,Ogrody Działkowe "Rębiechowo" I 02,54.378871762616,18.448326208572,1423
1426,Przyrodników 01,54.384473465537,18.431836376665,1426
1440,Podkarpacka 02,54.377242463437,18.565712547335,1440
1444,Ciołkowskiego 01,54.39478844766,18.616946300862,1444
1447,Zaspa - Szpital 01,54.403799541185,18.612109011079,1447
1448,Czarny Dwór 02,54.406772010357,18.616497743799,1448
1450,Lwowska 01,54.389684879128,18.622094476399,1450
1451,Mickiewicza 01,54.383425333195,18.62059290403,7002
1461,Biały Dwór 02,54.409120915693,18.604818291844,1461
110,Muzeum II Wojny Światowej 02,54.357610723461,18.658949523117,110
117,Oliwa PKP 04,54.411139542445,18.57221153255,117
121,Żabianka SKM 02,54.421120079417,18.570064371155,121
134,Chełm Cienista 02,54.337687325994,18.626189995916,134
151,Suchanino 01,54.354108692995,18.607374322207,151
167,Chełm - Więckowskiego 01,54.333977033609,18.615835542358,167
183,Kampinoska 01,54.316288027813,18.60329664045,183
184,Olimpijska 01,54.305596293584,18.58110499727,184
196,Żukowo Urząd Gminy 03,54.341442721786,18.355140132614,196
201,Jelitkowo 02,54.423210218812,18.592726717388,201
210,Brzeźno Dom Zdrojowy 01,54.407322817156,18.638117797696,210
211,Strzyża PKM 07,54.390811243548,18.578819446503,211
221,Łostowice Świętokrzyska 01,54.322493962357,18.605703925732,221
300,Baza Hallera T1,54.397216624219,18.621550824037,300
313,Wrzeszcz PKP 06,54.381861219258,18.603788313261,313
316,Brzeźno Plaża 02,54.408698278583,18.626202920853,316
342,Górki Wschodnie 02,54.350810691663,18.79079053223,342
1002,Rybaki Górne 01,54.358115850383,18.655796185571,1002
1004,Toruńska 01,54.345682047984,18.645594422636,1004
1011,Plac Komorowskiego 03,54.382560207042,18.615021446904,1011
1013,Dworzec Główny 18,54.355727161726,18.645312265781,1013
1020,Dworzec Główny 11,54.355107577565,18.64580944404,1020
1032,Cygańska Góra 04,54.359085818568,18.618567875494,1032
1038,Żabi Kruk 03,54.346754053819,18.651703673985,1038
1041,Długie Ogrody 01,54.347769298017,18.663710164393,1041
1046,Andruszkiewicza 03,54.366578482466,18.692339581461,1046
1051,Królowej Bony 02,54.329949051416,18.603563280145,1051
1053,Sówki 01,54.361413147893,18.729495932592,1053
1055,Steczka 01,54.359618937385,18.740708257105,1055
1056,Sówki 02,54.361452227347,18.730617474992,1056
1060,Kępna 02,54.359011996083,18.747190896861,1060
